Year,Jurisdiction,Commodity Group,Domestic consumption
2022,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",12670168
2022,Canada,Wood pulp (tonnes),5340590
2023,Canada,Hardwood lumber (cubic metres),1032224
2023,Canada,Newsprint (tonnes),-1828123
2023,Canada,Printing and writing paper (tonnes),-1232992
2023,Canada,Softwood lumber (cubic metres),17581787
2023,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",12015589
2023,Canada,Wood pulp (tonnes),5193002
2024,Canada,Hardwood lumber (cubic metres),942071
2024,Canada,Newsprint (tonnes),-1902057
2024,Canada,Printing and writing paper (tonnes),-1244761
2024,Canada,Softwood lumber (cubic metres),17276094
2024,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",12591470
2024,Canada,Wood pulp (tonnes),4815476
